ServiceTitan.Common.Contracts.Requests.BranchPricingRequest: IsClass=True, IsAbstract=False
ServiceTitan.Common.Contracts.Requests.PricingRequest: IsClass=True, IsAbstract=False
ServiceTitan.Common.Contracts.Requests.BulkPricingRequest: IsClass=True, IsAbstract=False
ServiceTitan.Common.Contracts.Requests.PushPurchaseOrderRequest: IsClass=True, IsAbstract=False
ServiceTitan.Common.Contracts.Requests.PurchaseOrderStatusRequest: IsClass=True, IsAbstract=False
ServiceTitan.Common.Contracts.Requests.GetQuoteDetailRequest: IsClass=True, IsAbstract=False
ServiceTitan.Common.Contracts.Requests.StockLevelRequest: IsClass=True, IsAbstract=False
ServiceTitan.Common.Contracts.Requests.SupplierAlertsRequest: IsClass=True, IsAbstract=False
ServiceTitan.Common.Contracts.Requests.VendorAccountRequest: IsClass=True, IsAbstract=False
ServiceTitan.Common.Contracts.Requests.VendorAccountShippingAddressesRequest: IsClass=True, IsAbstract=False
ServiceTitan.Common.Contracts.Requests.VendorAccountsRequest: IsClass=True, IsAbstract=False
ServiceTitan.Common.Contracts.Requests.VendorAvailableItemsRequest: IsClass=True, IsAbstract=False
ServiceTitan.Common.Contracts.Requests.VendorBranchRequest: IsClass=True, IsAbstract=False
ServiceTitan.Common.Contracts.Requests.VendorDefaultBranchRequest: IsClass=True, IsAbstract=False
ServiceTitan.Common.Contracts.Requests.VendorPurchaseHistoryOptionsRequest: IsClass=True, IsAbstract=False
ServiceTitan.Common.Contracts.Requests.VendorPurchaseHistoryRequest: IsClass=True, IsAbstract=False
ServiceTitan.Common.Contracts.Requests.VendorPurchaseOrderFieldDynamicConfigurationRequest: IsClass=True, IsAbstract=False
ServiceTitan.Common.Contracts.Requests.VendorRegisterRequest: IsClass=True, IsAbstract=False
ServiceTitan.Common.Contracts.Requests.VendorSubAccountRequest: IsClass=True, IsAbstract=False
ServiceTitan.Common.Contracts.Requests.VendorUnregisterRequest: IsClass=True, IsAbstract=False
